time,hat{D_{u}},u,e_{u},tau_{u}
0,0,0.004,1.496,98.8571524620056
0.1,0.625144086267722,0.397299544268791,1.10270045573121,98.4990371843317
0.2,-0.564065488014194,0.782639933745097,0.717360066254903,99.9161987620926
0.3,-1.8469827662796,1.15650922501703,0.343490774982974,98.9810841571182
0.4,-3.46991192263998,1.38070240872983,0.119297591270172,43.5584134952489
0.5,-4.43196933593764,1.45819232575231,0.041807674247694,25.8853737625124
0.6,-5.4938587948674,1.48593493826303,0.014065061736975,19.8655802413815
0.7,-6.58172519449186,1.49556304185016,0.004436958149842,19.193811728992
0.8,-7.64732830036861,1.49908224829499,0.000917751705006,19.1837163995622
0.9,-8.65381381342171,1.50038121304587,-0.000381213045874,20.8580101175046
1,-9.59357049384263,1.50109515892011,-0.001095158920114,21.1222070089832
1.1,-10.4593875197287,1.50135449882527,-0.00135449882527,21.7215592352267
1.2,-11.2132375696267,1.50149022831328,-0.001490228313275,22.8172374525631
1.3,-11.8862469096265,1.50173492943322,-0.001734929433217,23.1540542442879
1.4,-12.447262579131,1.50185323261633,-0.001853232616327,23.2378557562111
1.5,-12.9172084030212,1.50188904973428,-0.001889049734281,24.3200552758277
1.6,-13.271074365141,1.50201799847457,-0.002017998474575,24.1607632443924
1.7,-13.493333526882,1.50217823298115,-0.002178232981148,25.3620950067366
1.8,-13.6355804198166,1.50217798749574,-0.00217798749574,24.7357683174988
1.9,-13.6426919271192,1.5022120246772,-0.002212024677196,24.755806582137
2,-13.5669827414965,1.50237264098162,-0.002372640981624,24.9589599622702
2.1,-13.3803879493566,1.50239383781092,-0.002393837810925,24.654609488854
2.2,-13.1018473066451,1.5026468645109,-0.0026468645109,23.9266833521487
2.3,-12.7221811975308,1.50265962061522,-0.002659620615221,23.2924569810696
2.4,-12.2473516979675,1.50272456006573,-0.002724560065725,23.0347366550426
2.5,-11.7182854902171,1.50276583750541,-0.002765837505408,22.9790870439433
2.6,-11.0959481895212,1.50295069316637,-0.002950693166368,22.3420065343622
2.7,-10.4074059251926,1.50306308341757,-0.003063083417568,21.2456612114093
2.8,-9.67380796724351,1.50297722231689,-0.002977222316892,20.387917954264
2.9,-8.8877303385596,1.50315206049723,-0.003152060497227,19.7434639417987
3,-8.06338873142301,1.5031915023711,-0.003191502371097,19.4114209377199
3.1,-7.20500016657779,1.50326826003805,-0.003268260038047,17.7510988160796
3.2,-6.33672027920457,1.50326570468708,-0.003265704687081,17.8356572899696
3.3,-5.45070125453073,1.50330634424363,-0.003306344243634,16.1894078432759
3.4,-4.56851578038576,1.50331511507151,-0.003315115071505,15.6213507680261
3.5,-3.6896509186621,1.50335857244566,-0.003358572445659,14.3583116189833
3.6,-2.83467706119344,1.50327534698206,-0.003275346982063,14.059661438816
3.7,-2.00907316727055,1.50315409886537,-0.003154098865374,12.9587578467788
3.8,-1.1966778162016,1.50327144512638,-0.00327144512638,12.0855650129808
3.9,-0.437178080346111,1.50324359325515,-0.003243593255155,11.5942198684473
4,0.268957859013175,1.5031305187147,-0.0031305187147,10.8599393608831
4.1,0.927722433638792,1.50307942250481,-0.003079422504806,10.8336538280723
4.2,1.52785934490298,1.50311602908474,-0.003116029084738,9.64932583290006
4.3,2.07108536697279,1.50311100435538,-0.003111004355384,9.01938250326266
4.4,2.541718809847,1.50296974328753,-0.00296974328753,7.80489575957858
4.5,2.95144180596688,1.50296122735124,-0.002961227351238,8.49950079976699
4.6,3.29544770650204,1.50287664083426,-0.002876640834256,7.92155486412708
4.7,3.57319634242821,1.50269967336514,-0.002699673365143,8.08301720933151
4.8,3.78331974293167,1.50249774071679,-0.002497740716794,7.66558140371864
4.9,3.91865733396782,1.50236827099248,-0.002368270992477,7.18802746999488
5,4.01828181527805,1.50246347206096,-0.002463472060961,7.43830684043217
5.1,4.04198939205126,1.50234843568324,-0.002348435683239,7.69383733867689
5.2,4.02292506613585,1.50235478957645,-0.002354789576453,7.16937063417581
5.3,3.95259393304107,1.50229410768275,-0.002294107682747,7.74833502322914
5.4,3.84774146467396,1.50244490681835,-0.002444906818353,7.9641422829037
5.5,3.7139948750978,1.50236085393465,-0.002360853934647,7.73190666780419
5.6,3.52829989407029,1.5022777745589,-0.002277774558896,7.89240900065932
5.7,3.33523382330073,1.50223138504225,-0.002231385042249,7.43297035908566
5.8,3.10903209253074,1.50235952236651,-0.002359522366508,8.15629047350167
5.9,2.88514306797147,1.50210899550654,-0.002108995506541,8.63381961332202
6,2.65087913448907,1.50219320255559,-0.002193202555592,8.64798892562293
6.1,2.42854371120448,1.50235214779914,-0.00235214779914,9.00456294963842
6.2,2.19664574683647,1.5021105132494,-0.002110513249398,9.19374077497979
6.3,2.01199347788118,1.5023054805081,-0.0023054805081,8.93558492249228
6.4,1.82610281735842,1.50230523199603,-0.002305231996031,9.44503418177183
6.5,1.66094313038334,1.50236196123012,-0.002361961230116,9.59773724304691
6.6,1.52461911851657,1.50233114093934,-0.002331140939338,9.7065358299564
6.7,1.43741893998241,1.50233154938099,-0.002331549380993,9.63066887625599
6.8,1.37284655341439,1.5023746671358,-0.0023746671358,9.72008149853416
6.9,1.3383812479023,1.50208440708219,-0.002084407082195,9.99467082104645
7,1.35601888241961,1.50228153286326,-0.002281532863258,9.96481497940824
7.1,1.39501954898693,1.50236777873307,-0.002367778733071,10.3566530765548
7.2,1.50285565529896,1.50244763520864,-0.002447635208645,9.27189386214184
7.3,1.61754376161125,1.502571637106,-0.002571637105997,9.52946730983231
7.4,1.76714824625821,1.50259445167819,-0.002594451678192,9.2448858719173
7.5,1.95090679009689,1.50256772127774,-0.002567721277738,9.03121473709809
7.6,2.19217270539212,1.50255749784053,-0.002557497840531,9.14619460775447
7.7,2.43892226597657,1.50255986465064,-0.002559864650643,8.35069339492926
7.8,2.70856919468451,1.50257957896841,-0.002579578968407,8.12482905804109
7.9,2.99487260121592,1.5025500953976,-0.002550095397597,8.27028605204336
8,3.28831408718004,1.50255064549635,-0.002550645496354,7.8584458996974
8.1,3.59401070396182,1.50248845707421,-0.002488457074213,7.33287966926816
8.2,3.88915631509747,1.50259050573879,-0.002590505738793,7.0352075662521
8.3,4.18148946014498,1.50260224012042,-0.002602240120416,6.6341346875086
8.4,4.45980426132877,1.50263948052402,-0.002639480524023,6.51824328839581
8.5,4.73897212057708,1.50260923287789,-0.002609232877894,6.55707291454675
8.6,4.97612125412095,1.50263392166764,-0.002633921667641,6.40963026150596
8.7,5.19042844305874,1.50250521646106,-0.002505216461059,6.15498264898418
8.8,5.36082407734384,1.50246963356058,-0.002469633560585,5.44943639733802
8.9,5.49654048265303,1.50237524619242,-0.002375246192416,5.36443907438432
9,5.58510444838236,1.50246465564029,-0.002464655640288,6.02671630900671
9.1,5.61449416128873,1.50246733911109,-0.002467339111091,6.28059096487284
9.2,5.61744443581981,1.50244418502265,-0.002444185022647,5.94231315447407
9.3,5.54287128351363,1.50227726959979,-0.002277269599793,5.86625940896836
9.4,5.42513420611842,1.5023801264666,-0.002380126466602,5.18009001582639
9.5,5.23779318551769,1.50235885408931,-0.002358854089313,5.77484815497646
9.6,5.0194392205177,1.50221534517531,-0.002215345175308,6.12777152648586
9.7,4.727244915494,1.50220564373874,-0.002205643738739,5.85322177218529
9.8,4.38381587450913,1.50217576313729,-0.002175763137291,7.17136333400794
9.9,3.99272585191404,1.50192981269796,-0.001929812697958,7.24085947594965
10,3.54839114097999,1.5020511895139,-0.0020511895139,8.02377241106584
10.1,3.08382495800723,1.83885961063657,0.661140389363426,96.5802671058966
10.2,2.42668687631343,2.15211325022458,0.347886749775421,95.2286630935505
10.3,1.54208030160214,2.37408523881935,0.125914761180648,61.2136534268067
10.4,1.21860932407111,2.45546315853127,0.044536841468729,43.327395805743
10.5,0.703200165834074,2.48472328975447,0.015276710245532,37.3219137744049
10.6,0.11565529073411,2.49588303120121,0.004116968798792,36.1219451550133
10.7,-0.505263375905759,2.50016465296802,-0.000164652968019,36.1550308939493
10.8,-1.15465853249114,2.50185284359771,-0.001852843597707,35.959199405065
10.9,-1.79753744073702,2.50239626596344,-0.002396265963445,36.1701562351782
11,-2.4244213662045,2.50250450007829,-0.002504500078286,36.9166040978329
11.1,-3.03504781143179,2.50265262395307,-0.002652623953073,36.6599471987914
11.2,-3.62507828180932,2.50284147759758,-0.002841477597577,37.6867575258508
11.3,-4.16808150425282,2.50278329524161,-0.002783295241608,38.2123621524843
11.4,-4.68035828337067,2.50290230252874,-0.002902302528742,38.1001878903806
11.5,-5.12725897734092,2.50278492487739,-0.002784924877392,40.2281779855959
11.6,-5.54204431184407,2.50283145052821,-0.002831450528205,39.7651478350985
11.7,-5.88731210569144,2.50310212468519,-0.003102124685194,40.3456006560683
11.8,-6.16774138044281,2.50303511463966,-0.003035114639656,39.5687508208649
11.9,-6.37958562782273,2.50314900178511,-0.003149001785108,40.7213023941802
12,-6.53002035570455,2.50318008066394,-0.003180080663937,41.6722364420922
12.1,-6.61630915982161,2.50329875887859,-0.003298758878592,41.2029801545802
12.2,-6.59711533611655,2.50351404150128,-0.003514041501283,41.2349897009694
12.3,-6.52666104358276,2.5035062823979,-0.003506282397897,40.712380533634
12.4,-6.39606310323301,2.50357108673018,-0.003571086730179,40.9432400603634
12.5,-6.15453511339113,2.503695865126,-0.003695865125998,40.5166515694229
12.6,-5.90176315474194,2.50370413170929,-0.003704131709291,40.6178715960948
12.7,-5.54336532821438,2.50362467536003,-0.00362467536003,39.7275380777337
12.8,-5.13388884757622,2.50361882276566,-0.003618822765664,40.083415038334
12.9,-4.66446675344019,2.50377477263506,-0.003774772635059,38.0500356106332
13,-4.13269845825305,2.50384513694509,-0.003845136945086,38.1251796899425
13.1,-3.57875892070762,2.50388780470665,-0.003887804706652,37.8170169248962
13.2,-2.97145478857551,2.50416075113035,-0.004160751130346,37.6090251697401
13.3,-2.34739187360302,2.50412541405163,-0.004125414051634,36.7739081680824
13.4,-1.67957705002049,2.50415950108919,-0.004159501089193,35.7197330568335
13.5,-1.00716031564388,2.50439655924131,-0.004396559241307,35.1122228003851
13.6,-0.352195184289903,2.50419195209257,-0.004191952092568,34.1940673995609
13.7,0.337416909167156,2.50413201749268,-0.004132017492684,33.8267495413333
13.8,1.00268973989176,2.50418867830168,-0.004188678301683,33.4444616826089
13.9,1.65985735675982,2.50415969098818,-0.004159690988181,32.2210529206068
14,2.29316551303814,2.50433923637628,-0.004339236376277,32.1152846136098
14.1,2.8717887237821,2.50414323324582,-0.004143233245822,31.1298507615771
14.2,3.42171907298726,2.50410967827447,-0.004109678274467,29.6932804597123
14.3,3.92944435699882,2.50394372042117,-0.003943720421173,29.8705108918339
14.4,4.37179485105641,2.50397730374419,-0.003977303744191,29.2978408024394
14.5,4.77796912388286,2.5038965385224,-0.003896538522398,29.5453685502581
14.6,5.09605374744179,2.5038304397697,-0.003830439769698,29.741862745974
14.7,5.33403196314903,2.50381389093364,-0.003813890933636,28.7298407318201
14.8,5.53094868805135,2.50347916772578,-0.003479167725782,28.621320675352
14.9,5.63817360143158,2.50341054219383,-0.003410542193828,28.5139348294309
15,5.66780660075387,2.50346521151167,-0.003465211511666,28.509332800682
15.1,5.61680332727231,2.50338314096874,-0.00338314096874,28.3822731583615
15.2,5.50789138489786,2.50340989254012,-0.003409892540125,29.1404853183645
15.3,5.32206992042993,2.50329935977237,-0.003299359772372,28.4224619494584
15.4,5.06423963516468,2.5030606488816,-0.003060648881601,28.9852713206459
15.5,4.72303515502716,2.50300528693466,-0.003005286934656,29.785482229502
15.6,4.33327764584482,2.50322793965605,-0.003227939656054,30.1040807335192
15.7,3.87359963698027,2.50283801856367,-0.002838018563669,30.6709308739221
15.8,3.37974656346279,2.50281028937439,-0.002810289374387,31.7233897375779
15.9,2.81922817859013,2.50285870341919,-0.002858703419192,32.2294145759646
16,2.2138489426969,2.50290265348048,-0.002902653480478,32.0299701748492
16.1,1.57326235549026,2.50279095254577,-0.00279095254577,32.393866040544
16.2,0.92312416030078,2.50267055891051,-0.002670558910515,32.9016981463322
16.3,0.234329284171714,2.5026341910038,-0.002634191003799,33.9172218432621
16.4,-0.467523294615027,2.50264842984163,-0.002648429841631,35.1441853820555
16.5,-1.16636003590225,2.50268343914003,-0.002683439140025,35.5778649005949
16.6,-1.8619015336873,2.50262396779119,-0.00262396779119,36.2800940395238
16.7,-2.5442328241493,2.50238918764069,-0.00238918764069,36.9562443283226
16.8,-3.2052259055507,2.50235742874794,-0.002357428747944,36.9457642642391
16.9,-3.84160666657092,2.50256447460764,-0.002564474607644,38.4648629922927
17,-4.46606592584235,2.50266875177398,-0.002668751773984,39.0319945042191
17.1,-5.02520540098286,2.50273364333497,-0.002733643334966,40.2025316033754
17.2,-5.50605289872326,2.50276909179517,-0.002769091795167,38.6442535394017
17.3,-5.99801298061216,2.50271474354185,-0.002714743541846,40.7668864337524
17.4,-6.40290016140543,2.50283523186592,-0.002835231865924,41.1773079058131
17.5,-6.77421049371897,2.50312205414695,-0.003122054146949,41.2627454210871
17.6,-7.0443796477286,2.5032014756697,-0.003201475669702,41.2824647984473
17.7,-7.25144105522508,2.50319472729287,-0.003194727292873,41.9617529448735
17.8,-7.40690037124547,2.50321592213219,-0.003215922132189,41.4798866164008
17.9,-7.49487798798157,2.50312651508837,-0.00312651508837,41.6720889149912
18,-7.48723426155692,2.5032107992175,-0.003210799217504,40.9949896603072
18.1,-7.42312755854533,2.50330476742241,-0.003304767422414,42.3958012131016
18.2,-7.30512525180014,2.5033618816718,-0.003361881671804,41.754264489204
18.3,-7.1044290027696,2.50354247832856,-0.003542478328563,40.9394109211046
18.4,-6.85196155906616,2.50363784284031,-0.003637842840311,41.6502320230096
18.5,-6.52554686709904,2.50373868591258,-0.003738685912583,40.7328790013459
18.6,-6.14973260418436,2.50397915639951,-0.003979156399512,40.7486434127476
18.7,-5.74489908932379,2.50401373707081,-0.004013737070812,40.6295426440113
18.8,-5.28141330764495,2.50380668162788,-0.00380668162788,40.1087648777744
18.9,-4.80141989058737,2.50377646924532,-0.00377646924532,39.1373877889562
19,-4.25078660661363,2.5040280291156,-0.0040280291156,38.4081581276097
19.1,-3.70105060980185,2.50393111695442,-0.003931116954424,37.5355676119076
19.2,-3.11074405785384,2.50396351234755,-0.003963512347553,36.7460891592103
19.3,-2.53385344755884,2.50408957666996,-0.004089576669962,36.1425552727007
19.4,-1.91221959443196,2.50409378553467,-0.004093785534671,36.1230773434173
19.5,-1.30071180852124,2.5038789458913,-0.003878945891302,36.2799419740028
19.6,-0.713555310907179,2.50413838076349,-0.004138380763492,34.4617826687716
19.7,-0.128303173861023,2.50410244030751,-0.004102440307509,34.6727025545449
19.8,0.45645375006775,2.50402974627835,-0.004029746278346,33.8465468192758
19.9,1.00229353785967,2.50405726097101,-0.004057260971013,33.4103676569417
20,1.53871563959825,2.504064202183,-0.504064202182996,32.375141105168
20.1,2.38169179761021,2.21175796182806,-0.211757961828058,-25.1580779393872
20.2,2.73677464308765,2.08523230612958,-0.085232306129577,0.858622605776522
20.3,3.02531105623268,2.03620725029946,-0.036207250299459,11.0769929255483
20.4,3.36408741757287,2.01712478289183,-0.017124782891827,14.7827269883453
20.5,3.68690715500031,2.00979827998405,-0.009798279984055,16.0284556322464
20.6,3.98816381035779,2.00672464374437,-0.006724643744372,16.8275081700232
20.7,4.25274572094512,2.00541432453863,-0.005414324538629,16.1237607268469
20.8,4.47031629002671,2.00504365153062,-0.005043651530619,15.5373342641534
20.9,4.64013098510311,2.00487326344957,-0.00487326344957,16.0363537189145
21,4.77246618685492,2.00478209064931,-0.004782090649307,16.0199584919476
21.1,4.85730731844271,2.00447039527445,-0.004470395274449,15.9497294390265
21.2,4.91598818831747,2.00454707377658,-0.004547073776583,15.2715029901951
21.3,4.93224295859502,2.00461649896797,-0.004616498967973,14.9922173928721
21.4,4.91468914492998,2.00449862617276,-0.004498626172762,16.2136002566012
21.5,4.86516433719366,2.00443043575475,-0.004430435754746,15.7286889576557
21.6,4.79770780981552,2.00452203391961,-0.004522033919613,15.5960944157742
21.7,4.68950189761807,2.00450265573949,-0.004502655739489,15.8813797671349
21.8,4.57888595626573,2.00455686682226,-0.004556866822259,16.6731173558452
21.9,4.45208964572721,2.00446852494193,-0.004468524941933,15.7184976555271
22,4.29765186030825,2.00445562217033,-0.004455622170327,16.6787380842451
22.1,4.14822090986083,2.00443842351481,-0.004438423514809,16.3083733188837
22.2,3.99379829085906,2.00432976257061,-0.004329762570607,16.6086738356249
22.3,3.83054532279532,2.00431810694766,-0.004318106947657,16.6621514392896
22.4,3.68902843830992,2.00435867435929,-0.004358674359285,16.7052476442058
22.5,3.52202355246892,2.00429701120286,-0.004297011202864,16.7293489040817
22.6,3.38994195112284,2.00452578601113,-0.004525786011135,17.3910133039087
22.7,3.24199380100496,2.00433426832517,-0.004334268325168,16.862100048654
22.8,3.13642543558803,2.0042262043997,-0.004226204399703,17.7538611292389
22.9,3.01356805424024,2.0043313122048,-0.004331312204799,17.8746904625482
23,2.91393795188406,2.00444247393386,-0.004442473933855,17.7001153570797
23.1,2.84581190864105,2.00443092182185,-0.004430921821855,17.7361144967888
23.2,2.7634358331666,2.00447600572518,-0.00447600572518,17.3657322004333
23.3,2.73087696771981,2.00459156626748,-0.00459156626748,18.062000706383
23.4,2.71333582104221,2.00453371289992,-0.004533712899916,18.7100502163075
23.5,2.68658444863656,2.00444039167228,-0.004440391672282,17.4723844172349
23.6,2.69169487889354,2.00437866200496,-0.004378662004958,17.8343536621755
23.7,2.68918035935375,2.00453832927516,-0.004538329275165,18.5119742302993
23.8,2.70778805503644,2.00464424609111,-0.004644246091113,17.6498103093167
23.9,2.72467070575167,2.00461210125535,-0.004612101255352,17.9614431286294
24,2.74814535122291,2.00464038820376,-0.004640388203764,17.4088669921838
24.1,2.78532393729276,2.00454889311783,-0.004548893117827,18.1449543639463
24.2,2.8140153234599,2.00449392546491,-0.004493925464908,18.2413016015889
24.3,2.83730581595552,2.00463877529218,-0.00463877529218,18.0249367635046
24.4,2.84352555536402,2.00466867873875,-0.004668678738754,18.2844702932917
24.5,2.85145460914558,2.00464596367568,-0.004645963675681,17.8851950233083
24.6,2.85728414013781,2.00469270726951,-0.004692707269514,17.3845962767323
24.7,2.81805167468573,2.00448714176582,-0.004487141765818,17.3620246860168
24.8,2.77528656469713,2.00436545356603,-0.004365453566028,17.7112381364213
24.9,2.73101655137669,2.00453124179241,-0.004531241792415,18.0865717183339
25,2.64488594687652,2.00469977904775,-0.004699779047755,18.0446477039986
25.1,2.54101168246024,2.0045449805067,-0.004544980506702,18.0106817570234
25.2,2.40634423697165,2.00428212314933,-0.004282123149333,17.3913042525036
25.3,2.26288510927441,2.00439822469137,-0.004398224691371,18.5130722962928
25.4,2.06846777686324,2.00434962208533,-0.004349622085328,18.380359966667
25.5,1.8483869404406,2.00429882033576,-0.004298820335757,18.8185595302969
25.6,1.61327861584432,2.00413489012254,-0.004134890122544,19.1028044339299
25.7,1.3562623345345,2.00425226539376,-0.004252265393756,19.4530393994361
25.8,1.06859371735219,2.00423087934886,-0.004230879348858,19.5907993547761
25.9,0.750383316811907,2.00431608699949,-0.004316086999486,20.3257862932116
26,0.408230712267815,2.00413419774698,-0.004134197746977,20.0367912746935
26.1,0.055237914297824,2.00413874951683,-0.004138749516829,20.6445417750142
26.2,-0.315304376699971,2.00410504818242,-0.004105048182416,20.5104487916017
26.3,-0.703735986541319,2.00427593679233,-0.004275936792333,21.0479292662845
26.4,-1.09333268143802,2.00422879423269,-0.004228794232691,21.9263242814746
26.5,-1.51546019095672,2.00414750759099,-0.004147507590995,22.053481815045
26.6,-1.9377737676776,2.0039379944648,-0.003937994464799,22.6247637903369
26.7,-2.32420468396747,2.00404516096069,-0.004045160960694,22.8556861884078
26.8,-2.76664892307027,2.00423346457489,-0.004233464574888,23.71947864166
26.9,-3.16086634405927,2.00414616564557,-0.004146165645573,24.2398820758708
27,-3.5638561296756,2.00425213352286,-0.004252133522861,24.2435684252078
27.1,-3.9500067260409,2.00412934575293,-0.004129345752931,24.9354357149745
27.2,-4.32097678861971,2.00415624822826,-0.004156248228263,25.0798202105557
27.3,-4.65721820523851,2.00400540206977,-0.004005402069773,25.1200455897104
27.4,-4.9892098737813,2.00401502305953,-0.00401502305953,26.124695046053
27.5,-5.29936299792873,2.00427681907289,-0.004276819072891,25.8137245582734
27.6,-5.56362595637421,2.0041955365926,-0.004195536592603,25.6657841451941
27.7,-5.79673542515786,2.00409173930795,-0.004091739307949,26.2247373058036
27.8,-5.99270917494716,2.0041528175957,-0.0041528175957,26.0979519041342
27.9,-6.17107287932034,2.00431096415688,-0.00431096415688,27.3798881559431
28,-6.30841569996984,2.00430993269443,-0.004309932694432,27.1656470189205
28.1,-6.41637909064538,2.00433375357448,-0.004333753574481,26.9045816625143
28.2,-6.4547773072211,2.00439797400531,-0.004397974005308,27.0642485091178
28.3,-6.47462674901629,2.0045417985913,-0.004541798591298,26.7509213976636
28.4,-6.45842046542511,2.00468634553418,-0.004686345534178,27.0510459045921
28.5,-6.4183772921558,2.00461083079996,-0.00461083079996,26.949046683311
28.6,-6.3259731727191,2.00461959606742,-0.004619596067423,27.1043192344256
28.7,-6.20752595058927,2.00456346055025,-0.00456346055025,27.6861356913234
28.8,-6.05216247075296,2.00476731018869,-0.004767310188695,27.2448457502673
28.9,-5.86620392638708,2.00474607018929,-0.004746070189289,25.9367776139405
29,-5.64874322984417,2.00474296392398,-0.004742963923981,26.0459771928569
29.1,-5.42459203690039,2.00463162350732,-0.004631623507323,25.3220887371873
29.2,-5.1564602583597,2.00468818695235,-0.004688186952348,25.4647670715997
29.3,-4.87777870650766,2.00465094045437,-0.004650940454369,25.3513915514517
29.4,-4.60190691909626,2.00475677903384,-0.004756779033839,25.2973742123587
29.5,-4.27959626978176,2.00488595735556,-0.004885957355556,24.9789855486705
29.6,-3.9715009182547,2.00474438826985,-0.004744388269848,23.8797055929755
29.7,-3.64166673129806,2.00475560734244,-0.004755607342442,24.6661561340691
29.8,-3.31821798668698,2.00501646957183,-0.005016469571829,23.9665439663966
29.9,-2.98667186767591,2.00489462463693,-0.004894624636927,23.8407679823114
